0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/VectorXd
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/Waypoint
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/Wrench
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/commands/LinearAngular6DCommand
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/commands/Motion2D
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/commands/Speed6D
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/geometry/Spline<1>
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/geometry/Spline<3>
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/BodyState
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/DepthMap
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/DistanceImage
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/IMUSensors
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Joints
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/LaserScan
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Motion2D
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Pointcloud
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/PoseWithCovariance
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Pressure
0.109 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/RigidBodyAcceleration
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/RigidBodyState
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Sonar
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/SonarBeam
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/SonarScan
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Wrench
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/Wrenches
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/frame/Frame
0.110 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /base/samples/frame/FramePair
